10min_Interval,V1,V2,V3,V4
1,69.88037435,80.13752527,89.50594529,76.27587188
2,65.80348216,72.01713278,81.34845287,76.98258913
3,65.81133199,65.56205361,85.08117926,77.63936107
4,65.51227331,71.66494451,82.23878346,82.67848654
5,69.16571901,65.89516978,81.11930012,87.9617118
6,64.77674441,74.33099833,85.87867206,78.90667789
7,66.91755633,80.66413733,93.5202089,81.90448413
8,69.96630614,76.61371823,95.17731235,74.58497115
9,65.81821744,70.99843111,80.70034413,83.5694125
10,66.90747352,77.15545951,83.72985706,76.21499351
11,70.11847839,68.4481965,83.96120276,84.62091355
12,67.2643818,73.81911796,87.01456295,83.92386743
13,67.74955854,72.69159669,96.03770946,78.55607327
14,68.37367424,71.40341594,91.92126919,84.31795874
15,64.71550583,70.89050827,88.76940484,71.44680201
16,63.28659293,74.64981055,89.02894887,86.58092193
17,71.00873813,70.57863598,90.53203178,84.26490972
18,64.59471498,82.14292184,84.11919332,74.05765601
19,61.3986556,75.79153768,85.46412389,81.46730829
20,69.63837999,77.62633511,82.4040991,82.69709108
21,71.41815595,68.07427771,93.03101023,81.89415124
22,73.5322197,74.86211604,82.96372946,82.68858972
23,62.67420559,64.74852107,86.81557871,90.4330302
24,71.32893589,62.77735317,94.12396645,84.62807492
25,74.50333915,75.86156391,86.51305982,78.65597853
26,68.91855116,78.86028252,85.78701795,77.40594409
27,76.43389918,68.00263133,94.73234135,77.87774017
28,73.45005022,76.2672409,90.04390334,84.21126488
29,72.29110247,72.68299178,87.58048045,80.89573277
30,75.60685611,66.41735467,85.3959167,74.9417906
31,65.4071853,74.53982975,94.29673616,76.96864227
32,65.32845277,76.31364758,87.70338293,86.03774347
33,71.60184634,75.74625464,94.31287388,72.68557422
34,66.97556624,71.23906308,91.19714616,77.70716273
35,71.36371624,62.98280719,91.36504813,73.28370939
36,73.92408498,70.61444167,88.62891822,75.36859723
37,71.39870911,73.5731814,81.30002891,85.23761264
38,74.34332878,80.65109084,81.39100753,74.39185255
39,67.41507518,74.20502201,86.90708815,85.25355401
40,65.15010066,73.15299716,85.15792564,74.14341196
41,73.08905981,76.16857333,90.57725615,81.892475
42,74.66278458,78.90556586,80.26625129,81.90781067
43,67.73042554,67.77781715,88.78185494,84.91770039
44,69.02583218,67.7509017,91.50068465,73.58113192
45,74.0928395,69.77777302,82.98313219,84.91474241
46,67.01859378,70.22207198,80.56847693,82.60227225
47,65.51928379,65.4109615,91.78708986,76.59674365
48,68.9168518,80.17513886,86.44412615,77.31109594
49,76.01317551,70.85835919,84.7276237,70.43623644
50,65.54296904,64.61000796,94.76959031,76.3048683
51,76.66468526,75.11782135,81.21766169,80.13093548
52,61.70028086,64.41795861,91.58448019,80.22093213
53,71.63017847,68.31661722,78.91464719,74.58737585
54,77.21336007,75.54442517,86.34591442,78.93535922
55,77.49260129,76.29956021,89.33529838,73.76650909
56,73.03006435,78.09350396,80.22497592,65.99199393
57,64.22770835,70.42739816,85.55791733,76.77049379
58,73.15706322,64.30706375,86.66909984,85.98512893
59,72.24779385,71.05416933,93.31125107,76.37940936
60,63.66540866,81.8676575,82.85717461,75.77187021
61,70.21986688,68.51126841,87.51161845,76.51343529
62,66.44746531,63.77965226,85.75190207,81.03898444
63,76.27704862,77.74700916,84.94875022,77.24352516
64,80.98426651,66.54240879,91.14039949,82.73899106
65,75.64952072,69.17866251,82.78208484,73.7273057
66,70.79549895,59.76144163,93.76809899,78.18294464
67,65.60902628,71.97882707,90.48649101,75.91184043
68,63.58575302,67.48143277,89.42737703,76.41468078
69,65.03612276,64.76514001,86.56066484,82.58740458
70,76.20789759,68.92939225,85.84825715,74.00099915
71,65.53769716,69.35518791,94.74628119,79.03018938
72,70.70098443,65.64637168,87.61252542,76.09779132
73,72.08706834,73.99022523,79.57451635,75.46065698
74,71.54093657,73.94799561,82.1416712,78.80001615
75,75.63055769,60.29270153,83.81026638,75.43130138
76,73.3208954,65.58835862,85.81457406,83.49127699
77,72.88914392,62.22797922,87.34817125,82.00852066
78,65.83664568,65.99886217,84.72674935,73.41182928
79,70.99250066,72.59232273,81.61600276,81.51162122
80,67.37252366,67.2764276,84.76093466,74.5525886
81,73.19487383,67.97718834,88.76886334,78.32714027
82,65.93172932,72.47135766,88.81137441,82.68295422
83,67.87192482,67.26306788,81.85921704,82.6841778
84,77.38865369,69.04068367,81.76951176,76.83789502
85,70.57708041,63.00038867,87.23931187,78.13279176
86,68.93307069,64.5461977,78.62371186,87.09607008
87,71.38368902,74.52054583,81.22586973,74.03423347
88,68.49172189,63.72068625,77.61779478,85.9949496
89,63.28500616,71.32447697,81.6718103,85.95329135
90,67.85949807,73.7607621,82.72070038,83.88717019
91,68.34481948,63.13825119,79.09096221,86.80025058
92,73.54441996,64.33466224,86.90202638,77.4043941
93,72.58890746,71.47150119,76.93231397,86.02759785
94,74.05298953,62.02168759,81.24668965,79.8806026
95,58.52122605,67.58542874,91.09627524,77.40903379
96,68.2153924,72.14003912,82.01965029,75.1395838
97,67.41061341,71.48134548,85.88948432,75.60605063
98,72.00116074,70.86972434,82.56592202,74.24184661
99,70.3388267,65.42883509,91.74293677,85.12991324
100,67.39156895,66.44047966,90.03594775,73.84338645
101,67.9832006,60.94326238,75.75015751,76.05108129
102,70.65345321,68.27109866,88.49189824,79.36700026
103,65.15691791,71.67038563,86.69452718,73.58093103
104,72.9137289,65.26403091,81.31890411,80.36508279
105,73.89707379,69.7564268,82.06544959,77.12465657
106,71.69828042,74.70297588,83.18415712,75.66261342
107,73.09700382,72.78353211,88.86744653,73.68084091
108,71.06582071,76.57113531,97.83835483,75.17617246
109,75.36520346,66.92661282,87.38581701,80.96087419
110,82.04320292,70.14004453,82.74542232,78.18150084
111,66.24251166,73.2892043,75.98260983,70.88417495
112,64.81263561,77.19491713,76.25379592,73.21822742
113,73.07664435,74.11796716,86.15004802,76.80704148
114,72.36074332,74.88174477,88.82991135,77.79462601
115,70.74496639,65.37042317,76.67873813,77.02770455
116,63.35479702,73.1386778,80.06237458,72.16566406
117,69.19486473,69.38120068,79.61819051,78.94244397
118,66.871838,71.29659015,90.40790326,71.90932687
119,72.13622039,74.94456672,82.65403337,76.81070156
120,71.92425566,71.4734604,86.81037368,84.9407481
121,78.0624017,80.15506423,78.22916281,74.44024448
122,74.51646761,74.79164698,84.09593856,78.27752594
123,66.38150821,82.37385127,84.01168733,79.33069257
124,75.26162913,74.0274512,96.84749123,70.149401
125,73.67618712,72.94866845,90.86912586,73.94329474
126,75.05197197,68.27275268,87.26816494,75.22494745
127,71.53692091,74.04815348,83.51654999,79.50337762
128,58.26103063,78.06870143,92.44500269,81.43988488
129,72.11999399,71.19477777,78.36444385,73.04863044
130,66.51068589,67.01661421,91.3925578,76.67565904
131,76.73278519,73.71014853,81.46819528,73.22906721
132,80.30595256,72.21666674,86.31987311,88.875608
133,68.84743353,79.3564266,78.26905598,85.49272355
134,78.05187845,72.2444254,80.73634985,79.99950632
135,75.16403072,75.75786243,83.62917929,87.70211317
136,62.15209879,67.11960527,87.12571549,77.72997648
137,65.93284748,80.85163044,101.6918157,84.63134343
138,65.15135926,71.97860699,87.99834287,80.91455944
139,87.32433167,69.74412109,88.36689712,78.61232614
140,67.4623747,72.71984885,78.2520279,77.46751836
141,66.45386778,72.33879154,83.49631392,81.9901941
142,72.04481562,73.50673634,84.02303122,82.57052683
143,65.40916683,80.33981021,89.94036725,83.98711381
144,67.89740304,76.59694972,82.60770783,83.12182223
145,73.69971437,76.69783337,84.08378761,85.28587453
146,79.08961616,69.81898227,81.9129111,78.22677336
147,72.27845533,78.27846681,76.7194429,85.25272167
148,65.51258406,69.91475421,83.19529801,77.8932596
149,74.06104579,78.19292575,78.34987177,71.77491974
150,73.0504431,82.42264923,76.80660208,80.911374
151,63.53832335,75.0929846,85.30033349,79.47761644
152,74.6681635,78.96941798,84.46269683,72.39869036
153,58.00620372,80.87549595,81.44829215,66.94620034
154,64.59717347,86.42006587,90.94525359,72.29034647
155,72.40886911,83.80361087,77.42126186,80.41456599
156,69.25497305,70.86999329,88.56386027,75.00107309
157,75.22551789,93.34411857,79.62461022,80.86718906
158,66.98553271,80.66899052,82.90889151,80.28180683
159,62.26194935,79.56066103,85.96821156,72.28035271
160,69.72192586,70.83306221,82.32889283,80.95209276
161,67.85284089,73.32333699,87.61902063,75.83704392
162,67.49503231,73.80743387,90.25803502,73.67882831
163,69.02716694,81.67462014,87.18143912,83.35208385
164,72.43989476,83.89871598,81.58206124,85.60322675
165,80.32836353,75.68214821,85.00058929,75.64647876
166,66.79430302,71.55692148,75.29875296,78.07548974
167,66.61082025,73.71459443,73.17490511,76.23077663
168,68.56282695,71.83341177,86.92719135,78.49790713
169,61.73014975,80.71166517,85.28422269,81.18451295
170,67.69436577,75.5311318,82.03996196,77.71922426
171,74.0098478,74.61364659,83.35105964,81.03944469
172,68.11774623,79.19664877,80.83553937,76.73049263
173,70.75080344,75.47324941,79.49172075,81.96200664
174,61.14970101,77.50491334,82.04200659,78.11218945
175,71.40060447,81.25136798,84.61712336,74.24685273
176,69.62697817,78.19447395,88.70527615,77.04653405
177,70.84288937,79.11232543,82.79987801,78.57034504
178,75.98056631,75.46259446,83.0598856,71.89340569
179,67.47604652,77.74111916,83.02425794,71.717577
180,61.71739331,80.26320188,89.42574174,75.66029898
181,66.81924442,77.05801759,84.64329484,84.45838443
182,68.27569797,68.90482658,76.91612665,73.27020333
183,60.76934703,82.85280602,73.35927526,83.49605127
184,56.02528528,80.25518223,85.38243488,81.83430667
185,66.77900265,68.15713548,83.80685365,78.11990056
186,63.13283957,70.1526418,78.05639933,65.77111466
187,69.99473789,79.0336555,80.39476494,72.91942531
188,68.01514125,64.58355039,77.78081216,77.98797117
189,60.65603472,75.44261176,92.25867043,80.02020767
190,62.76305137,75.81429397,86.19478604,81.95099203
191,69.22240406,84.77972157,85.47209221,84.26388255
192,75.00334262,76.1368795,89.20524147,78.85635883
193,68.46629915,72.82483407,93.10637012,77.09887992
194,74.04062939,69.4409804,86.12827845,76.01394144
195,71.36883881,76.53067282,76.65840793,82.41559848
196,72.61790657,79.98397231,79.6758347,80.1569793
197,71.79019801,75.94034839,72.05551908,78.24219402
198,61.27126538,81.67680158,91.48504956,82.53835069
199,68.6072225,68.43538584,85.48263105,65.40180534
200,69.90567105,75.37421054,83.17028972,74.11877575
201,73.75674248,68.97865999,83.20507407,80.2638346
202,66.76664225,78.58768053,80.01008418,69.63347103
203,69.1762099,65.67710813,87.24453475,79.8874592
204,73.10076928,76.19897773,85.96649152,81.34075251
205,62.32902894,72.35674762,84.6377506,71.71354825
206,62.20513595,72.23487581,83.82000443,74.09563114
207,66.34543164,83.5058267,85.05080251,75.86667186
208,66.91427311,79.69734351,82.81376859,68.91521253
209,67.09841213,70.80681636,97.93875656,70.01503659
210,77.02017855,72.88162591,83.57507931,75.10372683
211,75.89484943,72.23785632,87.18942101,74.30107162
212,67.74665905,77.83823883,89.16619963,78.98662829
213,71.97601087,70.61966972,89.31905438,79.87473882
214,68.53305081,82.79347411,78.21486057,78.78175978
215,72.99123162,75.81164069,86.03737472,79.55420783
216,61.46809391,80.55250209,82.26084809,76.81895989
217,68.35481103,73.84506881,82.64201157,80.58938046
218,62.03524367,81.04996562,92.32238909,74.56124104
219,70.20387363,76.28493179,82.2809825,81.80392894
220,65.33163801,79.39382882,81.58622192,76.07071049
221,73.09233808,78.09120446,88.75904298,76.22557358
222,70.5481552,73.5064984,88.64570071,76.25775489
223,56.78190336,74.46276301,97.46680738,82.55257389
224,66.24538476,74.89191865,95.08640845,72.51241849
225,73.6605553,80.43995814,82.50535831,79.00437472
226,63.32797004,79.88143259,83.41552271,80.29519578
227,61.34952366,73.41088165,83.9458262,75.36663482
228,63.5164635,74.88198972,85.6257247,85.54891803
229,65.42707821,72.2468895,96.87655902,73.53390608
230,71.52985879,77.36212633,92.36208647,78.35503357
231,68.75667071,76.53272765,83.01016766,77.66046309
232,52.08185317,72.83158753,84.46607512,82.16922173
233,76.95819549,76.44804573,98.87510709,82.6860704
234,73.73288992,76.35808182,87.62670237,71.07722734
