iter	RMSE
0	3.037359459
1	2.90089367
2	2.792264811
3	2.706347355
4	2.6232946
5	2.543124581
6	2.477849596
7	2.420720636
8	2.369737328
9	2.328293557
10	2.300834279
11	2.262373155
12	2.231195709
13	2.207459376
14	2.184201994
15	2.159838326
16	2.143924558
17	2.128711495
18	2.11205782
19	2.100985504
20	2.089176546
21	2.079528778
22	2.069525761
23	2.061403391
24	2.052022105
25	2.043576077
26	2.037977323
27	2.033509519
28	2.027245664
29	2.019553676
30	2.014598916
31	2.010880252
32	2.004523045
33	2.001484412
34	1.997616445
35	1.993627922
36	1.990308815
37	1.987456044
38	1.984731629
39	1.98313332
40	1.980717067
41	1.979362341
42	1.977299917
43	1.974344413
44	1.973107137
45	1.97073171
46	1.969344809
47	1.967172467
48	1.965986544
49	1.964712877
50	1.962632675
51	1.961693228
52	1.960419675
53	1.958396261
54	1.957126458
55	1.956300365
56	1.953915252
57	1.952698335
58	1.951387813
59	1.950434211
60	1.949635772
61	1.948308403
62	1.947051886
63	1.945967405
64	1.944888827
65	1.943646638
66	1.942797356
67	1.942088397
68	1.941386921
69	1.940630507
70	1.939790731
71	1.939178793
72	1.938451996
73	1.937474728
74	1.937064655
75	1.936399256
76	1.935665199
77	1.934751054
78	1.934234575
79	1.93374696
80	1.932606933
81	1.932242872
82	1.931794563
83	1.930976467
84	1.930739126
85	1.930157628
86	1.929445531
87	1.928677278
88	1.928139287
89	1.927541084
90	1.926901264
91	1.926023308
92	1.925423023
93	1.92508661
94	1.92443134
95	1.923893828
96	1.923441624
97	1.923211386
98	1.922974246
99	1.922534318
100	1.922180567
101	1.921725295
102	1.921072263
103	1.920542421
104	1.919955589
105	1.919385956
106	1.918841738
107	1.918298996
108	1.917868738
109	1.917386313
110	1.916971527
111	1.916525194
112	1.915998098
113	1.915725803
114	1.915496362
115	1.914980912
116	1.91453746
117	1.913976408
118	1.913269201
119	1.912724831
120	1.912104155
121	1.911244197
122	1.910763948
123	1.910500896
124	1.910142514
125	1.909754433
126	1.909285491
127	1.908946558
128	1.908311979
129	1.907739982
130	1.907367387
131	1.907018837
132	1.906556135
133	1.906207242
134	1.905613187
135	1.905082628
136	1.904633123
137	1.904365531
138	1.903590269
139	1.903170927
140	1.902779689
141	1.902096198
142	1.901331835
143	1.900693563
144	1.900087639
145	1.899568026
146	1.89905424
147	1.898640471
148	1.897903581
149	1.897256664
150	1.896858965
151	1.896295205
152	1.895775425
153	1.895387553
154	1.89468694
155	1.894182077
156	1.893428632
157	1.89263654
158	1.892214904
159	1.891700548
160	1.891180158
161	1.890811485
162	1.890408368
163	1.889814292
164	1.889274793
165	1.889025556
166	1.888674829
167	1.888183469
168	1.887530079
169	1.887056515
170	1.886620608
171	1.886220368
172	1.885862757
173	1.885351953
174	1.884933966
175	1.884468075
176	1.883882239
177	1.883547581
178	1.883112964
179	1.882587716
180	1.882333579
181	1.882013084
182	1.88163707
183	1.881142633
184	1.880937988
185	1.880537819
186	1.880122886
187	1.879510294
188	1.879201884
189	1.878615848
190	1.878210109
191	1.877847006
192	1.877306473
193	1.876928519
194	1.876523743
195	1.876142946
196	1.875826606
197	1.875320888
198	1.874877268
199	1.874530535
200	1.874104704
201	1.873746259
202	1.873384642
203	1.872975261
204	1.872582534
205	1.8721511
206	1.871891694
207	1.871566575
208	1.871332991
209	1.870877743
210	1.870286905
211	1.869987413
212	1.86968282
213	1.869396593
214	1.869138294
215	1.868665784
216	1.868376044
217	1.867997838
218	1.867771088
219	1.867531539
220	1.867170282
221	1.866853011
222	1.866607593
223	1.866441311
224	1.865925158
225	1.865470039
226	1.865245281
227	1.865028343
228	1.864866556
229	1.864462452
230	1.864009487
231	1.863757101
232	1.86342009
233	1.863321845
234	1.863109234
235	1.862759469
236	1.862227391
237	1.861821385
238	1.861365174
239	1.861032271
240	1.860710814
241	1.860318911
242	1.860004373
243	1.859783594
244	1.859586351
245	1.859452231
246	1.859251587
247	1.858805649
248	1.85852745
249	1.857973995
250	1.857701834
251	1.857525665
252	1.857147046
253	1.856842881
254	1.856578166
255	1.856185838
256	1.855871753
257	1.855628809
258	1.855303235
259	1.855018704
260	1.854814306
261	1.854457767
262	1.854095723
263	1.85383202
264	1.85347935
265	1.853091127
266	1.852817557
267	1.852569218
268	1.852215366
269	1.851974238
270	1.85180861
271	1.851653334
272	1.851550101
273	1.8513212
274	1.851113019
275	1.85076021
276	1.850601761
277	1.850384758
278	1.850266905
279	1.850108328
280	1.849854976
281	1.84953499
282	1.84928514
283	1.848917292
284	1.848648684
285	1.848323562
286	1.848127953
287	1.847791141
288	1.84742255
289	1.84708992
290	1.846907604
291	1.846498598
292	1.846274663
293	1.846042582
294	1.845653251
295	1.845308419
296	1.845208973
297	1.845106159
298	1.844756383
299	1.844309112
300	1.8439589
301	1.843767467
302	1.843403229
303	1.843178447
304	1.843046995
305	1.842807554
306	1.842461431
307	1.842148587
308	1.841802607
309	1.841396284
310	1.841076661
311	1.84079288
312	1.840465838
313	1.840226918
314	1.839832666
315	1.839532146
316	1.839192849
317	1.838886205
318	1.838523998
319	1.838229063
320	1.837978479
321	1.837684579
322	1.837543206
323	1.837246445
324	1.836927991
325	1.836712914
326	1.836482938
327	1.836326087
328	1.836067742
329	1.835785108
330	1.835444985
331	1.835232765
332	1.834945375
333	1.834806885
334	1.834648986
335	1.834484776
336	1.834253214
337	1.834034993
338	1.833781603
339	1.833609411
340	1.833344343
341	1.83294698
342	1.832888021
343	1.83257266
344	1.832251327
345	1.832179789
346	1.832077533
347	1.831778649
348	1.831601237
349	1.831439589
350	1.831207515
351	1.830955367
352	1.830625765
353	1.830376768
354	1.830350032
355	1.830070164
356	1.829853768
357	1.829615893
358	1.829356252
359	1.829187311
360	1.828963136
361	1.828786044
362	1.828515077
363	1.828205856
364	1.827829248
365	1.827591163
366	1.827263146
367	1.826960664
368	1.826774147
369	1.826683571
370	1.826464201
371	1.826183752
372	1.82590036
373	1.825585371
374	1.825310443
375	1.825182592
376	1.82488185
377	1.824588497
378	1.824377212
379	1.824104578
380	1.823835641
381	1.823455121
382	1.823015683
383	1.822764088
384	1.822547873
385	1.822313013
386	1.822067655
387	1.82175491
388	1.821507385
389	1.821234092
390	1.821083699
391	1.820816361
392	1.820559825
393	1.820297777
394	1.819967897
395	1.819660135
396	1.819365356
397	1.819091603
398	1.818823222
399	1.818510947
400	1.818179168
401	1.817882613
402	1.817632271
403	1.81731319
404	1.817009893
405	1.816638158
406	1.816436946
407	1.816258281
408	1.81615124
409	1.816063804
410	1.815809382
411	1.815750735
412	1.81546483
413	1.815274079
414	1.814986121
415	1.814634893
416	1.814341584
417	1.814209372
418	1.813912308
419	1.813533929
420	1.813258726
421	1.813108258
422	1.812888075
423	1.812863184
424	1.812587101
425	1.812367412
426	1.812078926
427	1.811952384
428	1.811748693
429	1.811517833
430	1.811346912
431	1.811101032
432	1.810769106
433	1.810375857
434	1.810121064
435	1.809844827
436	1.809572954
437	1.809319205
438	1.809056379
439	1.808774101
440	1.808511377
441	1.808279412
442	1.808049525
443	1.807807005
444	1.807525415
445	1.807132074
446	1.807013383
447	1.80678633
448	1.806455593
449	1.806324015
450	1.806089825
451	1.805851767
452	1.805650921
453	1.805384099
454	1.805115231
455	1.805001437
456	1.804840943
457	1.804759884
458	1.804467226
459	1.804240834
460	1.804010045
461	1.803696809
462	1.80352452
463	1.803371257
464	1.803175484
465	1.803081445
466	1.80286697
467	1.802684758
468	1.802529599
469	1.80225346
470	1.802057172
471	1.801846611
472	1.801685406
473	1.801513875
474	1.801238729
475	1.80100151
476	1.800725713
477	1.800679343
478	1.800490515
479	1.80036291
480	1.800126372
481	1.799920137
482	1.799760296
483	1.799494539
484	1.79925805
485	1.799045966
486	1.798861619
487	1.798661942
488	1.79849097
489	1.798368605
490	1.798214759
491	1.797984319
492	1.797749664
493	1.797574435
494	1.797282218
495	1.797088211
496	1.797023252
497	1.796928339
498	1.796811909
499	1.79667561
500	1.796491615
501	1.796242213
502	1.796022402
503	1.79579511
504	1.795533578
505	1.795306724
506	1.795120615
507	1.794882435
508	1.794666043
509	1.794496091
510	1.794373867
511	1.794314251
512	1.794127309
513	1.793982987
514	1.793701417
515	1.79356748
516	1.793282685
517	1.793040844
518	1.792876002
519	1.79259263
520	1.792422456
521	1.792161722
522	1.791963013
523	1.791708631
524	1.791611267
525	1.791366147
526	1.791103733
527	1.790750662
528	1.790547924
529	1.790426619
530	1.79020981
531	1.789989522
532	1.789786564
533	1.789642904
534	1.789469726
535	1.789222911
536	1.788991879
537	1.788794991
538	1.788530502
539	1.788276262
540	1.788036927
541	1.787774416
542	1.787512638
543	1.787355865
544	1.787135709
545	1.78693179
546	1.786712259
547	1.786539439
548	1.786490578
549	1.786412341
550	1.786207354
551	1.786052042
552	1.785861123
553	1.785527745
554	1.785396373
555	1.785213988
556	1.78503149
557	1.784821367
558	1.784650737
559	1.784503469
560	1.784422584
561	1.78417291
562	1.784024983
563	1.783953787
564	1.783864778
565	1.783695113
566	1.783547495
567	1.783406613
568	1.783278709
569	1.78312414
570	1.782911873
571	1.782700138
572	1.782556279
573	1.782280797
574	1.782127689
575	1.78200183
576	1.781841849
577	1.781729714
578	1.781564261
579	1.781266409
580	1.781116807
581	1.780859828
582	1.780655388
583	1.780557123
584	1.780529872
585	1.780274862
586	1.780040619
587	1.779925301
588	1.779735693
589	1.779619999
590	1.779528273
591	1.779419552
592	1.779172034
593	1.779002155
594	1.778971332
595	1.778771954
596	1.778607194
597	1.77847424
598	1.778310266
599	1.778106623
600	1.77801484
601	1.777920039
602	1.77771819
603	1.777584084
604	1.777370336
605	1.777208009
606	1.776924765
607	1.776719868
608	1.776518732
609	1.776303467
610	1.77607299
611	1.77587301
612	1.775624136
613	1.775323853
614	1.775180809
615	1.774995664
616	1.774909179
617	1.774810879
618	1.774736548
619	1.774658291
620	1.774539955
621	1.774253086
622	1.773970681
623	1.773816367
624	1.773564927
625	1.773476315
626	1.773246021
627	1.773010613
628	1.772776086
629	1.772534575
630	1.772348195
631	1.772066727
632	1.771830163
633	1.771666147
634	1.771464099
635	1.771262397
636	1.770994808
637	1.770914746
638	1.770747832
639	1.770477241
640	1.77027741
