iter	Passed	Remaining
0	15	10153
1	28	9112
2	40	8552
3	53	8556
4	66	8470
5	79	8389
6	91	8300
7	104	8249
8	118	8350
9	131	8268
10	143	8226
11	155	8157
12	167	8109
13	180	8070
14	192	8013
15	203	7944
16	215	7918
17	227	7867
18	239	7845
19	252	7833
20	264	7798
21	275	7757
22	286	7703
23	298	7665
24	310	7643
25	321	7605
26	333	7573
27	345	7573
28	357	7536
29	369	7522
30	380	7492
31	392	7474
32	405	7475
33	417	7451
34	429	7440
35	441	7416
36	453	7407
37	465	7388
38	477	7364
39	488	7346
40	501	7338
41	513	7323
42	525	7311
43	537	7298
44	549	7274
45	560	7256
46	573	7253
47	585	7231
48	597	7212
49	608	7189
50	620	7174
51	631	7150
52	643	7138
53	656	7132
54	667	7114
55	679	7097
56	691	7088
57	705	7089
58	717	7080
59	729	7060
60	740	7043
61	753	7038
62	766	7033
63	778	7016
64	792	7020
65	805	7015
66	817	7001
67	829	6993
68	842	6984
69	854	6972
70	868	6968
71	882	6973
72	896	6975
73	908	6961
74	921	6950
75	934	6948
76	947	6943
77	962	6947
78	974	6933
79	986	6919
80	1002	6932
81	1018	6944
82	1030	6930
83	1043	6919
84	1056	6912
85	1069	6902
86	1081	6887
87	1094	6875
88	1106	6860
89	1117	6839
90	1132	6843
91	1144	6831
92	1157	6820
93	1169	6806
94	1181	6792
95	1194	6780
96	1206	6768
97	1218	6752
98	1229	6733
99	1242	6719
100	1253	6703
101	1266	6692
102	1279	6682
103	1291	6670
104	1303	6653
105	1316	6643
106	1328	6627
107	1340	6615
108	1351	6597
109	1363	6583
110	1375	6569
111	1387	6552
112	1401	6547
113	1414	6537
114	1425	6522
115	1437	6507
116	1450	6494
117	1463	6484
118	1475	6472
119	1489	6467
120	1501	6452
121	1512	6436
122	1529	6440
123	1542	6430
124	1553	6413
125	1565	6400
126	1578	6387
127	1589	6372
128	1601	6354
129	1612	6339
130	1624	6325
131	1636	6308
132	1648	6295
133	1660	6281
134	1671	6266
135	1684	6255
136	1696	6241
137	1707	6224
138	1719	6211
139	1732	6199
140	1743	6182
141	1755	6170
