id,Rings
90615,11
90616,11
90617,10
90618,10
90619,8
90620,10
90621,12
90622,5
90623,8
90624,14
90625,11
90626,6
90627,9
90628,12
90629,6
90630,8
90631,13
90632,5
90633,13
90634,10
90635,5
90636,7
90637,11
90638,9
90639,11
90640,9
90641,8
90642,9
90643,4
90644,13
90645,12
90646,9
90647,10
90648,11
90649,11
90650,12
90651,10
90652,9
90653,13
90654,6
90655,8
90656,10
90657,8
90658,7
90659,10
90660,7
90661,9
90662,6
90663,11
90664,9
90665,10
90666,10
90667,5
90668,12
90669,8
90670,10
90671,9
90672,10
90673,14
90674,8
90675,5
90676,9
90677,9
90678,4
90679,9
90680,10
90681,11
90682,14
90683,12
90684,13
90685,9
90686,6
90687,11
90688,9
90689,13
90690,14
90691,8
90692,12
90693,10
90694,11
90695,10
90696,11
90697,6
90698,11
90699,5
90700,10
90701,11
90702,10
90703,15
90704,5
90705,13
90706,11
90707,5
90708,10
90709,11
90710,10
90711,11
90712,11
90713,12
90714,7
90715,7
90716,8
90717,10
90718,3
90719,5
90720,11
90721,10
90722,7
90723,8
90724,11
90725,6
90726,7
90727,9
90728,10
90729,11
90730,11
90731,6
90732,7
90733,11
90734,11
90735,9
90736,8
90737,5
90738,7
90739,12
90740,11
90741,4
90742,11
90743,14
90744,7
90745,6
90746,9
90747,3
90748,17
90749,10
90750,3
90751,7
90752,9
90753,7
90754,10
90755,9
90756,10
90757,12
90758,9
90759,8
90760,8
90761,10
90762,10
90763,10
90764,13
90765,12
90766,8
90767,14
90768,12
90769,5
90770,14
90771,12
90772,6
90773,9
90774,6
90775,10
90776,8
90777,9
90778,11
90779,12
90780,11
90781,13
90782,8
90783,11
90784,7
90785,7
90786,5
90787,11
90788,2
90789,9
90790,8
90791,5
90792,6
90793,6
90794,6
90795,10
90796,13
90797,11
90798,10
90799,7
90800,14
90801,13
90802,6
90803,12
90804,14
90805,12
90806,9
90807,9
90808,9
90809,9
90810,10
90811,10
90812,6
90813,11
90814,8
90815,9
90816,5
90817,12
90818,11
90819,7
90820,6
90821,9
90822,7
90823,4
90824,12
90825,10
90826,4
90827,3
90828,10
90829,11
90830,10
90831,10
90832,10
90833,14
90834,11
90835,12
90836,9
90837,5
90838,12
90839,10
90840,11
90841,10
90842,10
90843,11
90844,11
90845,13
90846,8
90847,7
90848,11
90849,9
90850,7
90851,14
90852,5
90853,14
90854,12
90855,7
90856,8
90857,13
90858,13
90859,11
90860,11
90861,10
90862,12
90863,10
90864,8
90865,12
90866,12
90867,13
90868,12
90869,9
90870,11
90871,11
90872,13
90873,8
90874,12
90875,10
90876,9
90877,10
90878,9
90879,11
90880,9
90881,12
90882,9
90883,10
90884,12
90885,10
90886,12
90887,5
90888,8
90889,14
90890,9
90891,13
90892,10
90893,3
90894,8
90895,12
90896,6
90897,4
90898,5
90899,11
90900,10
90901,14
90902,10
90903,6
90904,7
90905,8
90906,8
90907,12
90908,2
90909,11
90910,10
90911,7
90912,12
90913,10
90914,9
90915,6
90916,9
90917,10
90918,8
90919,10
90920,11
90921,6
90922,8
90923,9
90924,9
90925,14
90926,11
90927,10
90928,9
90929,13
90930,11
90931,11
90932,11
90933,11
90934,12
90935,8
90936,11
90937,13
90938,8
90939,11
90940,8
90941,8
90942,4
90943,9
90944,8
90945,9
90946,11
90947,11
90948,12
90949,9
90950,10
90951,11
90952,9
90953,7
90954,10
90955,9
90956,9
90957,12
90958,1
90959,8
90960,13
90961,6
90962,13
90963,4
90964,13
90965,6
90966,11
90967,10
90968,13
90969,11
90970,11
90971,8
90972,11
90973,9
90974,10
90975,12
90976,8
90977,9
90978,5
90979,12
90980,8
90981,10
90982,13
90983,3
90984,11
90985,6
90986,12
90987,9
90988,9
90989,13
90990,12
90991,8
90992,4
90993,9
90994,12
90995,6
90996,12
90997,11
90998,7
90999,5
91000,10
91001,7
91002,8
91003,11
91004,11
91005,8
91006,9
91007,8
91008,8
91009,13
91010,9
91011,11
91012,9
91013,13
91014,9
91015,10
91016,7
91017,10
91018,7
91019,12
91020,8
91021,14
91022,9
91023,5
91024,7
91025,14
91026,9
91027,7
91028,13
91029,10
91030,10
91031,10
91032,6
91033,4
91034,12
91035,10
91036,13
91037,7
