id,Rings
90615,10
90616,10
90617,10
90618,10
90619,8
90620,10
90621,11
90622,6
90623,8
90624,11
90625,11
90626,6
90627,10
90628,15
90629,8
90630,8
90631,12
90632,6
90633,10
90634,10
90635,6
90636,7
90637,9
90638,9
90639,10
90640,11
90641,8
90642,10
90643,6
90644,10
90645,10
90646,9
90647,11
90648,13
90649,13
90650,10
90651,9
90652,9
90653,12
90654,6
90655,8
90656,11
90657,8
90658,7
90659,9
90660,7
90661,8
90662,7
90663,9
90664,8
90665,13
90666,9
90667,6
90668,10
90669,9
90670,9
90671,10
90672,10
90673,14
90674,7
90675,5
90676,11
90677,11
90678,5
90679,10
90680,10
90681,9
90682,14
90683,10
90684,12
90685,11
90686,7
90687,11
90688,9
90689,11
90690,16
90691,8
90692,11
90693,12
90694,10
90695,9
90696,10
90697,8
90698,10
90699,5
90700,11
90701,10
90702,10
90703,12
90704,5
90705,12
90706,11
90707,6
90708,8
90709,9
90710,9
90711,9
90712,9
90713,16
90714,7
90715,9
90716,7
90717,10
90718,4
90719,6
90720,11
90721,9
90722,10
90723,8
90724,10
90725,7
90726,8
90727,9
90728,10
90729,10
90730,10
90731,6
90732,8
90733,11
90734,9
90735,8
90736,8
90737,6
90738,7
90739,15
90740,10
90741,5
90742,10
90743,12
90744,7
90745,9
90746,8
90747,4
90748,13
90749,9
90750,4
90751,7
90752,8
90753,9
90754,9
90755,9
90756,9
90757,12
90758,9
90759,8
90760,8
90761,10
90762,9
90763,9
90764,15
90765,12
90766,7
90767,15
90768,13
90769,6
90770,12
90771,10
90772,6
90773,8
90774,8
90775,10
90776,8
90777,11
90778,10
90779,11
90780,12
90781,11
90782,8
90783,12
90784,7
90785,8
90786,6
90787,9
90788,4
90789,11
90790,9
90791,7
90792,7
90793,7
90794,6
90795,12
90796,11
90797,10
90798,12
90799,8
90800,15
90801,10
90802,7
90803,10
90804,18
90805,11
90806,9
90807,10
90808,9
90809,13
90810,9
90811,10
90812,6
90813,10
90814,7
90815,8
90816,6
90817,10
90818,9
90819,7
90820,7
90821,10
90822,7
90823,6
90824,12
90825,8
90826,6
90827,4
90828,10
90829,11
90830,9
90831,8
90832,9
90833,11
90834,10
90835,9
90836,9
90837,5
90838,11
90839,8
90840,9
90841,11
90842,12
90843,10
90844,14
90845,11
90846,13
90847,7
90848,10
90849,9
90850,9
90851,14
90852,6
90853,11
90854,11
90855,7
90856,9
90857,12
90858,12
90859,11
90860,13
90861,10
90862,11
90863,9
90864,9
90865,14
90866,15
90867,12
90868,12
90869,8
90870,12
90871,11
90872,15
90873,8
90874,15
90875,8
90876,11
90877,9
90878,8
90879,9
90880,8
90881,13
90882,10
90883,12
90884,14
90885,11
90886,13
90887,6
90888,9
90889,13
90890,11
90891,11
90892,10
90893,4
90894,11
90895,11
90896,7
90897,6
90898,6
90899,14
90900,11
90901,12
90902,9
90903,7
90904,7
90905,8
90906,7
90907,10
90908,4
90909,15
90910,9
90911,8
90912,16
90913,9
90914,9
90915,7
90916,9
90917,12
