id,Rings
90615,10
90616,10
90617,10
90618,10
90619,8
90620,9
90621,11
90622,6
90623,8
90624,12
90625,12
90626,6
90627,9
90628,12
90629,7
90630,8
90631,13
90632,5
90633,9
90634,10
90635,6
90636,8
90637,9
90638,9
90639,10
90640,11
90641,7
90642,10
90643,6
90644,11
90645,10
90646,9
90647,13
90648,14
90649,13
90650,10
90651,9
90652,9
90653,12
90654,6
90655,8
90656,10
90657,9
90658,7
90659,10
90660,7
90661,8
90662,7
90663,9
90664,8
90665,14
90666,9
90667,6
90668,10
90669,9
90670,10
90671,10
90672,9
90673,13
90674,8
90675,5
90676,12
90677,11
90678,5
90679,9
90680,10
90681,10
90682,16
90683,11
90684,11
90685,11
90686,8
90687,10
90688,9
90689,11
90690,19
90691,8
90692,11
90693,13
90694,9
90695,9
90696,10
90697,7
90698,9
90699,5
90700,11
90701,10
90702,9
90703,13
90704,5
90705,11
90706,12
90707,6
90708,9
90709,10
90710,10
90711,10
90712,9
90713,15
90714,7
90715,8
90716,7
90717,9
90718,4
90719,6
90720,11
90721,9
90722,9
90723,8
90724,9
90725,7
90726,8
90727,8
90728,10
90729,10
90730,11
90731,6
90732,8
90733,11
90734,9
90735,8
90736,8
90737,6
90738,7
90739,15
90740,10
90741,5
90742,9
90743,12
90744,7
90745,7
90746,8
90747,4
90748,15
90749,9
90750,4
90751,7
90752,8
90753,7
90754,9
90755,10
90756,9
90757,11
90758,9
90759,8
90760,8
90761,10
90762,9
90763,9
90764,13
90765,11
90766,8
90767,15
90768,13
90769,6
90770,11
90771,11
90772,6
90773,8
90774,7
90775,10
90776,8
90777,11
90778,11
90779,10
90780,10
90781,11
90782,8
90783,12
90784,7
90785,8
90786,6
90787,9
90788,4
90789,12
90790,8
90791,7
90792,7
90793,7
90794,6
90795,11
90796,10
90797,10
90798,11
90799,7
90800,16
90801,10
90802,7
90803,12
90804,15
90805,11
90806,9
90807,10
90808,10
90809,12
90810,10
90811,9
90812,6
90813,10
90814,8
90815,8
90816,5
90817,10
90818,10
90819,7
90820,7
90821,10
90822,7
90823,6
90824,13
90825,8
90826,5
90827,4
90828,11
90829,11
90830,9
90831,8
90832,9
90833,12
90834,10
90835,10
90836,9
90837,5
90838,11
90839,9
90840,9
90841,11
90842,14
90843,11
90844,13
90845,11
90846,13
90847,7
90848,10
90849,9
90850,8
90851,14
90852,6
90853,11
90854,12
90855,8
90856,9
90857,10
90858,12
90859,11
90860,12
90861,10
90862,11
90863,9
90864,9
90865,15
90866,17
90867,11
90868,12
90869,8
90870,12
90871,13
90872,15
90873,9
90874,13
90875,9
90876,10
90877,9
90878,8
90879,9
90880,8
90881,13
90882,10
90883,11
90884,12
90885,10
90886,13
90887,5
90888,9
90889,14
90890,10
90891,12
90892,11
90893,4
90894,13
90895,11
90896,7
90897,5
90898,6
90899,14
90900,12
90901,13
90902,9
90903,7
90904,7
90905,8
90906,8
90907,11
90908,4
90909,15
90910,10
90911,7
90912,17
90913,10
90914,9
90915,7
90916,9
90917,12
