iter	MultiClass
0	1.710788356
1	1.544115733
2	1.415557442
3	1.303550473
4	1.223701278
5	1.149799725
6	1.08625675
7	1.018271873
8	0.9673771378
9	0.9198979011
10	0.8786710627
11	0.8386391503
12	0.802978121
13	0.7723536341
14	0.7439775124
15	0.7150627221
16	0.6916855432
17	0.6688537184
18	0.6493637655
19	0.6309737322
20	0.6134876682
21	0.5970184169
22	0.5826772081
23	0.568606505
24	0.5555849696
25	0.5440519431
26	0.5316438079
27	0.5204964101
28	0.5098664263
29	0.5003145674
30	0.4920627997
31	0.4854668425
32	0.4761493325
33	0.4690248709
34	0.4626760938
35	0.4563481952
36	0.450413734
37	0.4444495537
38	0.4389525505
39	0.4340840935
40	0.4282629838
41	0.4238463833
42	0.4198301502
43	0.4151248725
44	0.4112083845
45	0.4075887466
46	0.4044182733
47	0.4012033964
48	0.3967678579
49	0.3929977305
50	0.3903909644
51	0.3874783699
52	0.3843493435
53	0.3819282545
54	0.3793598348
55	0.3771537773
56	0.3754184266
57	0.3730577059
58	0.3704108227
59	0.3676055526
60	0.3654361812
61	0.3631083102
62	0.3612614722
63	0.3593439425
64	0.3579163782
65	0.3558879155
66	0.3534998379
67	0.3517448695
68	0.3503394896
69	0.3486120913
70	0.3474688735
71	0.3455940778
72	0.3442913818
73	0.3429584165
74	0.3412090427
75	0.3397003522
76	0.3385657386
77	0.3367902071
78	0.3354952969
79	0.3341607678
80	0.3326888099
81	0.3312662844
82	0.3297046512
83	0.3288322866
84	0.3271810803
85	0.3256029557
86	0.3245728165
87	0.3234824296
88	0.3222878591
89	0.3209313402
90	0.3199027033
91	0.3186602906
92	0.3171665893
93	0.3162454625
94	0.3155265253
95	0.3143916228
96	0.3135711146
97	0.3127349729
98	0.3117026354
99	0.3107732099
100	0.3103500388
101	0.3095048582
102	0.3084189782
103	0.3075666584
104	0.3066806078
105	0.3058208982
106	0.3050952655
107	0.3042294745
108	0.3031407633
109	0.3018076021
110	0.3010919163
111	0.3002973615
112	0.2991602926
113	0.2983074443
114	0.2976099646
115	0.2966755034
116	0.2961317383
117	0.2955522118
118	0.2947489787
119	0.2939604354
120	0.2929325528
121	0.2922746835
122	0.2916800655
123	0.2912840745
124	0.2907381744
125	0.290107484
126	0.2895276906
127	0.2889242049
128	0.2884386699
129	0.2878145166
130	0.2871468007
131	0.286602004
132	0.2859443116
133	0.2854514877
134	0.2846210745
135	0.2841469719
136	0.2832653393
137	0.2825085547
138	0.2819247651
139	0.2814298876
140	0.2807637106
141	0.2802057036
142	0.2795750266
143	0.2789179085
144	0.2785584607
145	0.2780945516
146	0.2773485468
147	0.2767128929
148	0.276249389
149	0.2759725306
150	0.2753293311
151	0.2749167366
152	0.2742129092
153	0.2737815712
154	0.2731962925
155	0.2724899607
156	0.2721081079
157	0.2715685153
158	0.2710887586
159	0.2705209314
160	0.2698208322
161	0.2694474886
162	0.2689552411
163	0.2684241438
164	0.2678077773
165	0.2672617475
166	0.2667744208
167	0.2660556991
168	0.2653855278
169	0.2648972285
170	0.2645765228
171	0.2639017952
172	0.2634609378
173	0.2627654047
174	0.2623404202
175	0.2617242833
176	0.2614488401
177	0.2610549819
178	0.2605814354
179	0.2599336358
180	0.2596179619
181	0.2593160008
182	0.25894651
183	0.2586784526
184	0.2581938425
185	0.2579423475
186	0.2576452278
187	0.2572417194
188	0.2568251358
189	0.2564160377
190	0.2559648154
191	0.2554614407
192	0.2549352479
193	0.2546339234
194	0.254388313
195	0.2540096132
196	0.253608271
197	0.2531687802
198	0.2527769322
199	0.2523047854
200	0.2519497668
201	0.2515564929
202	0.2510943966
203	0.2508614249
204	0.2506377797
205	0.250212492
206	0.2498468883
207	0.2495295696
208	0.2489092675
209	0.2483404379
210	0.2479946094
211	0.2477411521
212	0.2473157251
213	0.2469345825
214	0.2467188787
215	0.2464130468
216	0.2459543434
217	0.2456274933
218	0.2452512044
219	0.2449882777
220	0.2447706462
221	0.2443062156
222	0.2440099694
223	0.2437637182
224	0.2433621088
225	0.2429957017
226	0.2427005845
227	0.2424946513
228	0.2421936639
229	0.2419232434
230	0.2416129824
231	0.2414336243
232	0.2411477664
233	0.2407871068
234	0.240519765
235	0.2401056623
236	0.2398385377
237	0.2394197632
238	0.2390015786
239	0.2387141844
240	0.2383218326
241	0.238039256
242	0.237718658
243	0.2375158064
244	0.2371702885
245	0.2367500495
246	0.2364544472
247	0.2363343762
248	0.2360468282
249	0.2357332449
250	0.2355134374
251	0.2351995161
252	0.2348733089
253	0.2345255039
254	0.2342567287
255	0.2340744028
256	0.2338225734
257	0.233439298
258	0.2330571846
259	0.2326527212
260	0.2322569372
261	0.2318925918
262	0.2316105644
263	0.2313157222
264	0.2311055486
265	0.2309085032
266	0.2306189841
267	0.2304244311
268	0.2301767739
269	0.2299746757
270	0.2296434374
271	0.2293709541
272	0.2290976784
273	0.2289890789
274	0.2287557607
275	0.2284129837
276	0.2281993368
277	0.2277263624
278	0.2274916729
279	0.2272697951
280	0.2269885962
281	0.2267250674
282	0.2263616959
283	0.2260943853
284	0.2259399053
285	0.2255689443
286	0.2252366488
287	0.2249100989
288	0.224605478
289	0.2242698322
290	0.223974836
291	0.223709096
292	0.2234025887
293	0.2232142992
294	0.2229935107
295	0.2227632177
296	0.2223473025
297	0.2220642515
298	0.2217704492
299	0.2214648754
300	0.2211968298
301	0.2209135216
302	0.2206842107
303	0.220418801
304	0.2201986547
305	0.2200306582
306	0.2198272116
307	0.2195601245
308	0.2194046853
309	0.2191751838
310	0.2187979536
311	0.2186740403
312	0.218469467
313	0.2181469547
314	0.2179141226
315	0.2175789974
316	0.217371271
317	0.2170697318
318	0.2167885644
319	0.216564728
320	0.2164102115
321	0.2161780825
322	0.2160043131
323	0.2158700309
324	0.215623014
325	0.2153093483
326	0.2151432842
327	0.2150274259
328	0.2147688529
329	0.214521532
330	0.214412026
331	0.2141625557
332	0.2138388229
333	0.2136718583
334	0.2134871185
335	0.2133049547
336	0.2130481638
337	0.2128923971
338	0.2127604564
339	0.2124654562
340	0.2122972253
341	0.2120829169
342	0.2119516435
343	0.2117685152
344	0.2114892315
345	0.2111236428
346	0.2108531398
347	0.2106255825
348	0.2103652994
349	0.2101476493
350	0.2098736726
351	0.209627627
352	0.2094514874
353	0.2092928646
354	0.2091441093
355	0.2088136832
356	0.2086095587
357	0.208367546
358	0.2081722065
359	0.2079446237
360	0.2077200837
361	0.2075640008
362	0.2072885733
363	0.2070049868
364	0.2068498899
365	0.2066713062
366	0.2065293857
367	0.2063370974
368	0.2061100684
369	0.2059589864
370	0.2057349851
371	0.2054881483
372	0.205404595
373	0.2051907124
374	0.2049675534
375	0.2048388872
