iter	Passed	Remaining
0	47	17705
1	94	17763
2	142	17762
3	186	17366
4	233	17337
5	274	16925
6	319	16867
7	364	16782
8	406	16581
9	458	16773
10	503	16716
11	545	16554
12	589	16471
13	638	16501
14	682	16421
15	726	16345
16	771	16302
17	817	16252
18	858	16132
19	904	16106
20	951	16076
21	998	16062
22	1044	16037
23	1091	16010
24	1135	15943
25	1180	15886
26	1226	15849
27	1270	15790
28	1314	15730
29	1358	15667
30	1403	15619
31	1447	15565
32	1491	15498
33	1535	15449
34	1585	15445
35	1626	15363
36	1671	15318
37	1718	15287
38	1764	15244
39	1811	15216
40	1856	15169
41	1901	15117
42	1945	15068
43	1989	15013
44	2030	14932
45	2075	14892
46	2121	14847
47	2166	14801
48	2212	14764
49	2259	14730
50	2304	14687
51	2348	14634
52	2391	14574
53	2437	14536
54	2483	14495
55	2529	14455
56	2574	14410
57	2620	14366
58	2664	14314
59	2709	14270
60	2756	14234
61	2798	14174
62	2840	14111
63	2886	14072
64	2930	14023
65	2975	13977
66	3022	13937
67	3069	13902
68	3116	13865
69	3161	13820
70	3205	13769
71	3250	13724
72	3294	13676
73	3339	13630
74	3384	13583
75	3429	13538
76	3475	13496
77	3521	13454
78	3563	13397
79	3608	13353
80	3653	13306
81	3693	13244
82	3737	13195
83	3779	13139
84	3824	13094
85	3870	13051
86	3917	13012
87	3961	12966
88	4008	12927
89	4054	12884
90	4100	12843
91	4146	12799
92	4189	12749
93	4236	12709
94	4278	12656
95	4321	12605
96	4366	12558
97	4413	12519
98	4456	12467
99	4497	12413
100	4543	12370
101	4589	12327
102	4634	12283
103	4680	12240
104	4724	12193
105	4768	12146
106	4813	12101
107	4859	12059
108	4905	12016
109	4951	11973
110	4997	11930
111	5043	11889
112	5092	11851
113	5138	11809
114	5186	11771
115	5233	11731
116	5278	11684
117	5320	11632
118	5366	11590
119	5412	11545
120	5456	11498
121	5500	11451
122	5545	11406
123	5588	11356
124	5633	11312
125	5684	11279
126	5729	11234
127	5773	11186
128	5818	11140
129	5862	11093
130	5904	11043
131	5948	10995
132	5990	10945
133	6035	10900
134	6082	10857
135	6126	10812
136	6172	10768
137	6219	10726
138	6265	10683
139	6312	10641
140	6352	10588
141	6400	10547
142	6447	10505
143	6493	10462
144	6539	10418
145	6583	10371
146	6627	10325
147	6671	10278
148	6717	10233
149	6763	10189
150	6807	10144
151	6853	10099
152	6899	10056
153	6945	10012
154	6989	9966
155	7034	9921
156	7076	9871
157	7126	9833
158	7173	9790
159	7219	9745
160	7263	9700
161	7309	9655
162	7355	9611
163	7395	9560
164	7438	9512
165	7486	9470
166	7530	9423
167	7575	9379
168	7621	9334
169	7663	9286
170	7704	9236
171	7753	9196
172	7799	9152
173	7842	9104
174	7887	9058
175	7932	9014
176	7975	8967
177	8021	8922
178	8067	8878
179	8115	8836
180	8159	8790
181	8201	8742
182	8246	8697
183	8296	8657
184	8341	8612
185	8391	8571
186	8436	8527
187	8480	8480
188	8526	8435
189	8571	8391
190	8617	8346
191	8660	8299
192	8705	8254
193	8752	8210
194	8796	8165
195	8844	8122
196	8889	8077
197	8933	8031
198	8978	7986
199	9023	7940
200	9067	7894
201	9112	7849
202	9156	7803
203	9200	7757
204	9245	7712
205	9293	7669
206	9339	7624
207	9383	7578
208	9427	7533
209	9474	7489
210	9516	7442
211	9561	7396
212	9606	7351
213	9650	7305
214	9696	7260
215	9740	7215
216	9783	7168
217	9825	7121
218	9869	7075
219	9909	7026
220	9955	6982
221	9997	6935
222	10039	6887
223	10083	6842
224	10129	6797
225	10171	6751
226	10218	6707
227	10263	6662
228	10308	6617
229	10353	6572
230	10403	6530
231	10444	6482
232	10500	6444
233	10545	6399
234	10590	6354
235	10636	6309
236	10681	6264
237	10725	6219
238	10770	6173
239	10811	6126
240	10862	6085
241	10908	6040
242	10954	5995
243	10999	5950
244	11042	5904
245	11086	5858
246	11132	5813
247	11178	5769
248	11226	5726
249	11271	5680
250	11315	5635
251	11361	5590
252	11403	5544
253	11448	5498
254	11494	5454
255	11537	5408
256	11581	5362
257	11622	5315
258	11668	5271
259	11710	5224
260	11756	5180
261	11801	5134
262	11846	5089
263	11891	5044
264	11936	4999
265	11979	4954
266	12024	4908
267	12069	4863
268	12114	4818
269	12160	4774
270	12202	4727
271	12247	4682
272	12293	4638
273	12337	4592
274	12380	4546
275	12424	4501
276	12468	4456
277	12511	4410
278	12552	4364
279	12596	4318
280	12640	4273
281	12686	4228
282	12732	4184
283	12776	4138
284	12820	4093
285	12863	4048
286	12908	4003
287	12953	3957
288	12995	3912
289	13040	3867
290	13084	3821
291	13130	3777
292	13175	3732
