T,num_series,coint_frac,num_of_rw,SADF,crit_95,crit_99
300,25,0.4,0.4,6.2226,2.482,3.339
300,25,0.6,0.4,5.1956,2.803,3.656
300,25,0.8,0.4,0.7909,1.485,2.563
500,25,0.4,0.4,17.8618,3.011,3.987
500,25,0.6,0.4,15.8288,3.529,4.164
500,25,0.8,0.4,3.4416,1.718,2.618
800,25,0.4,0.4,22.945,3.071,3.94
800,25,0.6,0.4,26.5521,2.994,3.839
800,25,0.8,0.4,18.1028,1.614,2.865
1000,25,0.4,0.4,25.8221,2.707,3.667
1000,25,0.6,0.4,31.2784,2.677,3.587
1000,25,0.8,0.4,21.5895,1.95,3.363
300,25,0.4,0.6,2.9738,2.531,3.262
300,25,0.6,0.6,8.5489,2.351,3.19
300,25,0.8,0.6,3.3024,1.886,2.932
500,25,0.4,0.6,15.9788,2.922,3.72
500,25,0.6,0.6,14.0989,2.492,3.403
500,25,0.8,0.6,3.2212,2.305,3.293
800,25,0.4,0.6,23.1778,3.118,4.094
800,25,0.6,0.6,21.1448,2.661,3.668
800,25,0.8,0.6,17.4605,1.989,2.855
1000,25,0.4,0.6,27.7817,3.415,4.361
1000,25,0.6,0.6,30.3514,2.701,3.597
1000,25,0.8,0.6,22.2095,2.066,3.063
