TIME,Belgium,Denmark,Germany,Ireland,Greece,Spain,France,Italy,Cyprus,Hungary,Malta,Netherlands,Austria,Portugal
2000-01,7.3,5,8.2,4.9,11.5,12.8,9.8,10.6,4.6,6.6,6.9,3.9,4.3,5.6
2000-02,7.1,4.6,8.1,4.8,11.6,12.4,9.6,10.6,4.8,6.6,6.9,3.9,4.3,5.4
2000-03,6.9,4.4,8.1,4.7,11.6,12.2,9.5,10.5,5.1,6.5,6.9,3.8,4.1,5.3
2000-04,6.9,4.4,8,4.7,11.5,12,9.4,10.3,5.4,6.5,6.8,3.8,3.8,5.2
2000-05,6.8,4.5,8,4.6,11.5,11.9,9.3,10.3,5.3,6.4,6.7,3.7,3.7,5.3
2000-06,6.7,4.4,8,4.5,11.4,11.9,9.2,10.2,4.8,6.3,6.6,3.7,3.6,5.2
2000-07,6.8,4.2,7.9,4.4,11.3,11.9,9.1,10,4.6,6.2,6.6,3.6,3.8,5.3
2000-08,7,4.1,7.9,4.2,11.2,11.8,9,10,4.7,6.1,6.6,3.6,3.8,5.4
2000-09,6.9,4,7.9,4.1,11.2,11.7,8.9,9.9,4.8,6,6.6,3.5,3.9,5.4
2000-10,6.8,4,7.8,3.9,10.6,11.7,8.8,9.6,4.8,6,6.6,3.4,3.8,5.2
2000-11,6.7,4.1,7.8,3.9,10.7,11.5,8.8,9.6,4.7,5.9,6.7,3.4,3.8,5
2000-12,6.4,4.1,7.7,3.9,10.6,11.2,8.7,9.6,4.6,5.8,6.9,3.3,3.7,5
2001-01,6.1,4.3,7.7,4,10.5,10.8,8.6,9.4,4.2,5.7,7,3.2,3.6,5.1
2001-02,6,4.4,7.7,4,10.5,10.7,8.6,9.4,3.8,5.7,7.1,3.2,3.6,5.3
2001-03,6.1,4.4,7.6,3.9,10.5,10.5,8.5,9.3,3.7,5.6,7.3,3.2,3.7,5.4
2001-04,6.5,4.3,7.6,3.9,10.7,10.4,8.5,9.2,4,5.6,7.5,3.1,3.9,5.4
2001-05,6.6,4.3,7.7,4,10.7,10.6,8.5,9.1,4.3,5.6,7.7,3.1,4,5.4
2001-06,6.4,4.4,7.7,4.1,10.7,10.5,8.5,9.1,4.2,5.6,7.7,3.1,4.1,5.4
2001-07,6.1,4.5,7.8,4.3,10.7,10.5,8.4,9.1,3.8,5.6,7.8,3.1,4.1,5.5
2001-08,6.2,4.7,7.8,4.4,10.6,10.6,8.4,9,3.7,5.5,7.8,3.1,4.1,5.4
2001-09,6.6,4.7,7.9,4.4,10.6,10.5,8.4,9,3.8,5.5,7.8,3.1,4.1,5.4
2001-10,7.3,4.7,8,4.4,10.9,10.5,8.4,8.9,4,5.5,7.8,3.1,4.2,5.4
2001-11,7.4,4.7,8,4.4,10.9,10.6,8.4,8.9,3.9,5.5,7.9,3.1,4.3,5.4
2001-12,7.5,4.7,8.1,4.4,10.8,10.7,8.3,8.8,3.6,5.5,7.9,3.2,4.4,5.4
2002-01,7.4,4.6,8.1,4.4,10.7,11.1,8.2,8.6,3.3,5.5,7.8,3.2,4.5,5.6
2002-02,7.3,4.4,8.2,4.5,10.7,11.5,8.2,8.5,3.1,5.5,7.7,3.3,4.5,5.6
2002-03,7.3,4.3,8.2,4.7,10.7,11.2,8.2,8.5,3,5.5,7.5,3.4,4.5,5.7
2002-04,7.3,4.3,8.3,4.6,10.3,11.2,8.2,8.9,3.5,5.5,7.2,3.4,4.3,5.8
2002-05,7.3,4.4,8.4,4.7,10.3,11.2,8.2,8.8,3.6,5.5,6.9,3.5,4.2,6.2
2002-06,7.3,4.5,8.5,4.6,10.3,11.4,8.2,8.8,3.4,5.6,6.7,3.6,4.2,6.4
2002-07,7.5,4.8,8.6,4.4,10.3,11.7,8.3,8.6,3.3,5.6,6.6,3.7,4.3,6.6
2002-08,7.4,5,8.7,4.4,10.2,11.8,8.3,8.6,3.4,5.6,6.6,3.8,4.4,6.6
2002-09,7.6,5,8.9,4.7,10.2,11.7,8.3,8.6,3.8,5.7,6.6,3.9,4.5,6.8
2002-10,7.8,4.9,9,5.1,10,11.6,8.3,8.5,4,5.7,6.8,4,4.4,7.3
2002-11,8,4.8,9.1,5.4,10,11.6,8.4,8.5,3.9,5.7,7,4.1,4.4,7.5
2002-12,8.1,4.7,9.2,5.3,10,11.6,8.5,8.4,3.9,5.7,6.7,4.2,4.5,7.5
2003-01,8.1,4.8,9.4,5,9.8,11.7,8.2,8.8,3.5,5.7,6.7,5.3,4.5,7.6
2003-02,8.1,5,9.5,4.8,9.7,11.7,8.3,8.7,3.5,5.7,6.6,5.4,4.5,7.6
2003-03,8.1,5.2,9.6,4.7,9.7,11.6,8.4,8.7,3.7,5.7,6.8,5.6,4.6,7.7
2003-04,8.1,5.4,9.7,4.8,9.7,11.4,8.5,8.4,4.3,5.8,7.1,5.7,4.7,7.8
2003-05,8.1,5.6,9.7,4.7,9.7,11.3,8.5,8.5,4.3,5.8,7.4,5.8,4.8,8
2003-06,8.1,5.6,9.8,4.9,9.7,11.5,8.5,8.5,4.2,5.8,7.6,5.9,4.9,8
2003-07,8.1,5.4,9.8,5,9.7,11.6,8.5,8.4,4.1,5.7,8.4,6,4.8,7.8
2003-08,8.1,5.4,9.8,5,9.7,11.5,8.3,8.4,4.1,5.7,8.5,6.1,4.8,7.8
2003-09,8.2,5.5,9.8,5,9.7,11.5,8.6,8.4,4.3,5.7,8.2,6.2,4.8,7.9
2003-10,8.3,5.7,9.8,4.8,9.9,11.4,8.7,8.2,4.6,5.7,8.2,6.2,4.9,8
2003-11,8.3,5.8,9.8,4.7,9.9,11.3,8.8,8.2,4.4,5.7,7.9,6.4,5,7.9
2003-12,8.5,5.8,9.8,4.8,9.9,11.4,9,8.2,4.3,5.7,7.5,6.5,5.2,7.7
2004-01,8.7,5.8,9.8,5.1,11.2,11.3,8.9,8.3,4,5.7,7.5,6.5,6.1,7.5
2004-02,8.6,5.7,10.1,5.2,10.5,11.2,8.9,8,3.8,5.8,7.3,6.6,6,7.6
2004-03,8.3,5.5,10.3,5.1,10.7,11.1,8.9,8.3,4,5.8,7,6.7,5.9,7.6
2004-04,7.7,5.5,10.3,4.8,10.7,11.2,8.8,8.2,4.5,5.8,7.1,6.9,6,7.8
2004-05,7.6,5.4,10.3,4.7,10.6,11.2,8.8,8.1,4.5,5.9,7.1,7,5.7,8.1
2004-06,8,5.5,10.3,4.5,10.6,11.2,8.8,7.8,4.6,6,7.3,6.9,5.6,8.3
2004-07,8.6,5.6,10.3,4.5,10.7,11,8.8,7.8,4.6,6.1,7.5,6.8,5.5,8.2
2004-08,9,5.6,10.4,4.4,10.7,11,8.8,7.6,4.7,6.2,7.4,6.7,5.6,8.5
2004-09,9,5.6,10.4,4.6,10.4,10.9,8.9,8.1,5,6.2,7.4,6.7,6.2,8.6
2004-10,8.6,5.4,10.5,4.7,10.4,10.7,8.9,8,5.1,6.4,7,6.8,6.1,8.5
2004-11,8.3,5.3,10.6,4.7,10.4,10.6,9,8.1,5.3,6.4,6.8,6.8,5.7,8.5
2004-12,8.2,5.3,10.7,4.7,10.2,10.3,8.9,7.9,5.3,6.5,6.8,7,6,8.7
2005-01,8.3,5.3,10.7,4.4,10,10.1,8.7,7.8,4.9,6.6,6.7,7,5.7,8.7
2005-02,8.5,5.2,10.9,4.3,9.8,9.9,8.6,8,5,6.8,6.9,7.2,5.7,8.8
2005-03,8.6,5.2,10.9,4.6,10,9.7,8.6,7.9,5.2,6.9,7.2,7.1,6,9
2005-04,8.4,5.2,11.2,4.8,10,9.7,8.7,7.9,5.4,7.1,7.4,7.1,6,9.1
2005-05,8.6,5,11.2,4.9,10,9.4,8.8,7.6,5.8,7.2,7.3,7.2,6.2,9.1
2005-06,8.5,5,11.2,4.9,10.2,9.1,8.9,7.8,5.8,7.2,7,7,6.2,9.2
2005-07,8.5,5,11.2,4.8,10.3,8.8,8.9,7.6,5.2,7.3,6.7,7,6.1,9.5
2005-08,8.5,4.7,11.2,4.7,10.2,8.6,9,7.5,5.3,7.4,6.5,6.9,5.9,9.5
2005-09,8.5,4.5,11.1,4.6,10.4,8.5,9,7.9,5.3,7.4,6.6,6.9,6.1,9.5
2005-10,8.4,4.3,11,4.5,10.1,8.6,9.1,7.9,5.2,7.4,6.7,6.9,6.2,9.5
2005-11,8.4,4.1,10.9,4.5,9.6,8.7,9.1,7.6,5.2,7.4,6.9,6.8,6.1,9.5
2005-12,8.5,4.1,10.7,4.6,9.6,8.8,9.1,7.6,5.2,7.4,7.3,6.8,6.1,9.3
2006-01,8.5,4.1,10.6,4.7,9.2,8.8,9.2,7.4,5.4,7.5,7.3,6.5,6.1,9.2
2006-02,8.6,4.2,10.5,4.7,9.5,8.7,9.2,7.4,5.2,7.3,7.2,6.5,6,9.1
