Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1991_2,101.29,99.54,99.78,99.91,99.16,100.36,96.81,99.84,98.08,100.11,99.67,98.13,100.62,100.4,99.89,100.54,99.71,100.32,99.92,99.07,100.04,97.97,100.63,98.71,99.16,100.41,100.59,101.22,99.85,98.02,99.24,100.43,99.13,100,100.19,100.59,100,100.71,99.67,97.26,100.82,102.7,100.18,100.08,100.65,99.38,99.33,100.73,99.92,100.3,102.22
1991_3,101.82,100.86,99.41,101.21,98.78,101.4,96.19,99.73,94.13,99.58,99.73,100.72,102.12,101.26,100.53,101.25,99.52,100.42,100.74,98.82,99.62,96.91,101.15,99.15,99.03,100.38,104.78,101.62,99.94,96.83,98.72,100.63,99.24,99.75,99.73,101.13,100.83,102.87,99.97,95.61,101.12,103.81,100.3,100.32,101.68,98.85,99.02,100.65,99.62,101.29,103.98
1991_4,102.7,100.92,100.73,102.8,99.11,103.02,95.85,99.17,96.51,100.35,100.55,100.2,105.31,102.28,101.4,102.52,100.77,101.69,100.92,98.27,100.43,97.43,102.04,100.22,100.73,100.91,109.59,101.91,101.44,94.82,99.14,103.02,99.7,100.94,100.84,102.23,101.34,105.13,100.9,95.91,102.28,103.11,101.54,100.11,103.69,98.51,99.93,102.99,102.98,102.89,104.28
1992_1,103.94,101.94,100.94,102.81,99.1,105.54,96.18,99.77,97.19,100.98,101.34,103.26,105.93,103.35,102.34,103.71,101.68,103.2,102.68,101.2,101.58,98.55,103.7,101.14,102.79,101.44,109.85,105.23,102.73,95.15,100.23,105.32,101.09,101.93,102.54,104.21,102.16,107.37,101.86,96.41,103.05,107.67,101.98,101.95,105.19,99.85,100.37,103.84,103.61,104.83,106.19
1992_2,104.23,102.82,101.2,103.6,97.47,107.93,94.55,99.75,95.73,100.75,100.76,98.45,107.81,104.3,103.77,105.84,101.78,103.44,103.67,97.47,100.29,95.64,103.6,102.05,102.51,101.85,111.44,106.56,101.5,93.54,99.67,105.31,100.21,101.92,103.47,104.84,102.05,109.79,101.78,94.2,103.39,107.02,102.08,101.68,106.81,100.42,99.92,104.51,107.13,106.39,107.38
1992_3,105.91,103.98,102.16,104.8,96.99,109.93,93.18,98.74,96.45,101.71,102.09,102.82,109.85,104.93,104.86,107.09,103.45,105.28,104.4,97.92,101.61,96.19,104.65,103.35,103.18,102.1,115.48,108.34,103.17,91.19,99.06,107.08,100.3,103.33,103.85,106.06,103.08,112.15,101.9,94.83,104.34,110.03,103.9,102.64,108.67,99.8,100.31,106.14,105.76,107.87,108.09
1992_4,107.2,104.53,102.88,105.42,95.49,113.33,94.34,99.85,95.63,102.04,102.7,102.75,112.97,106.6,105.74,108.23,104.22,106.75,105.83,98.39,101.63,96.62,105.73,104.28,103.07,103.06,119.04,110.38,103.9,92.31,100.22,109.29,100.8,104.12,105.83,107.2,104.38,114.56,102.3,94.53,105.56,111.62,104.47,103.62,112.71,100.75,100.7,107.5,107.45,109.61,112.08
1993_1,107.7,103.29,103.99,107.37,93.65,115.74,90.89,98.98,91.88,102.29,103.12,102.03,115.66,107.37,107,110.87,105.4,107.67,106.18,94.03,100.82,94.94,105.6,105.4,103.9,102.79,122.4,110.42,103.93,88.71,99.35,111.07,99.9,104.09,106.51,108.05,105.01,116.66,102.41,93.64,105.38,113.21,104.72,103.93,116.43,99.93,100.29,108.3,108.28,111.18,112.27
1993_2,108.84,106.34,105.19,109.14,92.47,119.31,91.61,98.58,94.32,103.5,104.06,103.18,118.46,108.39,108.35,112.13,106.62,109.41,107.85,95.46,101.11,96.1,106.75,106.83,106.01,104.12,126.53,113.64,104.77,90.17,99.59,114.3,100.94,105.54,109.66,109.45,106.58,119.34,103.05,92.89,105.75,116.19,106.49,105.09,120.86,100.24,101.01,109.66,111.42,113.35,114.79
1993_3,110.69,107.3,106.72,111.19,90.84,123.55,91.38,98.79,95.19,103.87,104.74,100.12,122.19,109.93,109.73,114.41,108.79,110.35,110.03,94.95,101.74,96.47,107.75,108.05,106.92,105.13,129.37,115.37,104.98,90.3,99.78,116.84,100.42,106.47,112.41,111.06,108.23,122.22,103.18,92.86,107.23,117.7,107.89,106.19,127.03,98.1,101.27,111.44,114.02,115.64,118.6
1993_4,111.87,110.25,108.76,111.36,90.01,127.77,91.06,97.82,89.6,104.88,105.63,101.86,124.49,110.72,111.32,117.56,110.85,111.48,112.37,95.28,101.62,96.31,109.07,109.27,109.02,106.24,132.98,118.4,105.98,91.11,99.9,119.74,100.42,107.77,114.14,112.51,109.76,125.86,104.1,92.39,108.21,121,109.49,107.38,131.97,101.18,101.67,113.15,113.47,117.65,121.86
