T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
300,15,0.4,0.6,1.802,1.774,-2.967,8.233,1.785,0.555,3.02,4.802,6.082,2.392,3.103,0.3665,0.01
300,15,0.4,0.6,2.511,2.262,-2.967,10.363,2.262,0.854,3.978,6.573,8.19,2.392,3.103,0.4785,0.012
300,15,0.4,0.6,2.606,2.413,-2.967,10.321,2.396,0.75,4.271,6.842,8.287,2.392,3.103,0.505,0.0125
300,15,0.4,0.6,2.945,2.669,-2.967,10.945,2.527,1.135,4.668,7.426,9.014,2.392,3.103,0.54,0.013
300,15,0.4,0.6,4.157,3.946,-2.967,13.2,3.16,1.672,6.605,9.366,11.062,2.392,3.103,0.681,0.015
300,15,0.4,0.6,7.835,8.653,-2.967,15.413,4.316,4.498,11.585,13.464,14.332,2.392,3.103,0.852,0.02
300,15,0.4,0.6,1.279,1.301,-2.967,6.375,1.527,0.216,2.36,3.788,4.597,2.392,3.103,0.243,0.008
300,15,0.4,0.6,1.216,1.218,-2.967,5.62,1.48,0.142,2.217,3.718,4.556,2.392,3.103,0.218,0.0075
300,15,0.4,0.6,1.093,1.14,-2.967,5.395,1.412,0.151,2.079,3.346,4.158,2.392,3.103,0.181,0.007
300,15,0.4,0.6,0.856,0.912,-2.967,5.225,1.334,-0.026,1.787,2.989,3.656,2.392,3.103,0.121,0.005
300,15,0.4,0.6,0.478,0.523,-2.967,4.349,1.262,-0.328,1.365,2.484,3.206,2.392,3.103,0.062,0.001
