T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power,delta
800,2,0.4,0.6,23.132,24.042,-0.474,26.998,3.609,23.073,24.708,25.635,26.213,2.987,3.83,0.9925,0.01
800,2,0.4,0.6,24.411,24.609,2.143,27.32,1.76,24.029,25.14,25.924,26.516,2.987,3.83,0.9995,0.012
800,2,0.4,0.6,24.469,24.651,0.487,27.363,1.874,24.097,25.196,25.968,26.474,2.987,3.83,0.997,0.0125
800,2,0.4,0.6,24.503,24.602,0.737,28.264,1.595,24.076,25.158,25.966,26.65,2.987,3.83,0.9995,0.013
800,2,0.4,0.6,24.501,24.516,11.69,27.103,0.889,23.996,25.031,25.84,26.477,2.987,3.83,1.0,0.015
800,2,0.4,0.6,23.964,23.92,21.596,27.017,0.744,23.456,24.469,25.199,25.706,2.987,3.83,1.0,0.02
800,2,0.4,0.6,18.693,20.472,-0.722,25.274,5.22,17.115,22.263,23.687,24.387,2.987,3.83,0.976,0.008
800,2,0.4,0.6,16.61,18.413,-1.756,24.397,5.667,13.718,20.838,22.759,23.65,2.987,3.83,0.956,0.0075
800,2,0.4,0.6,14.609,15.964,-1.776,23.983,5.511,11.385,18.81,21.422,22.36,2.987,3.83,0.9495,0.007
800,2,0.4,0.6,6.25,6.309,-1.583,15.889,3.448,3.453,8.707,12.033,13.818,2.987,3.83,0.788,0.005
800,2,0.4,0.6,0.949,0.94,-3.17,5.022,1.32,0.09,1.836,3.154,4.008,2.987,3.83,0.064,0.001
