T,num_series,coint_frac,num_of_rw,SADF_mean,SADF_median,SADF_min,SADF_max,SADF_std,SADF_p25,SADF_p75,SADF_p95,SADF_p99,crit_95,crit_99,power
300,10,0.4,0.4,4.206,3.908,-2.131,13.009,2.662,2.055,6.023,9.032,10.709,3.614,4.353,0.5466666666666666
300,10,0.6,0.4,3.086,2.925,-3.824,10.914,2.552,1.152,4.942,7.51,8.996,2.891,3.889,0.504
300,10,0.8,0.4,1.569,1.735,-3.856,8.191,2.74,-0.499,3.791,5.603,6.708,1.832,3.096,0.4866666666666667
500,10,0.4,0.4,17.508,18.195,-0.252,21.454,2.927,17.38,18.794,19.732,20.31,2.805,3.732,0.9866666666666667
500,10,0.6,0.4,13.159,14.444,-1.675,19.545,4.354,11.306,16.25,17.89,18.796,2.973,3.942,0.95
500,10,0.8,0.4,7.631,7.963,-3.864,13.953,2.844,6.119,9.656,11.727,12.972,1.737,2.644,0.9653333333333334
800,10,0.4,0.4,23.329,23.352,1.875,25.82,1.03,22.823,23.908,24.64,25.101,3.168,4.306,0.9993333333333333
800,10,0.6,0.4,24.968,24.977,8.707,27.536,0.952,24.453,25.525,26.295,26.863,2.399,3.42,1.0
800,10,0.8,0.4,16.035,16.792,-3.902,24.171,4.376,13.749,19.15,21.619,22.679,2.276,3.337,0.986
1000,10,0.4,0.4,26.073,26.045,23.567,28.524,0.766,25.548,26.588,27.327,27.892,2.645,3.404,1.0
1000,10,0.6,0.4,28.585,28.654,1.486,31.137,1.494,28.101,29.206,29.966,30.403,2.344,3.075,0.9986666666666667
1000,10,0.8,0.4,20.2,21.91,-3.887,30.213,6.503,17.122,25.086,27.514,28.849,1.943,3.001,0.98
300,10,0.4,0.6,4.47,4.216,-3.036,13.238,3.018,2.075,6.602,9.984,11.447,3.162,3.874,0.6273333333333333
300,10,0.6,0.6,2.408,2.306,-3.824,10.706,2.598,0.526,4.042,6.912,8.491,2.836,3.522,0.4266666666666667
300,10,0.8,0.6,0.351,0.401,-3.856,7.524,2.595,-1.668,2.318,4.595,5.902,1.92,3.048,0.302
500,10,0.4,0.6,15.847,17.704,-3.162,21.159,4.739,15.261,18.713,19.805,20.536,2.721,3.56,0.9633333333333334
500,10,0.6,0.6,11.176,12.404,-3.839,19.508,5.19,7.578,15.359,17.663,18.63,2.853,3.878,0.9006666666666666
500,10,0.8,0.6,5.817,6.156,-3.864,13.447,3.173,4.048,8.07,10.394,11.745,1.786,2.927,0.886
800,10,0.4,0.6,23.672,23.833,1.461,26.524,1.691,23.267,24.389,25.212,25.858,2.931,4.013,0.9993333333333333
800,10,0.6,0.6,25.038,25.338,4.801,28.615,2.073,24.727,25.878,26.679,27.184,2.487,3.307,1.0
800,10,0.8,0.6,12.714,13.774,-3.902,23.311,5.579,9.455,16.826,19.95,21.684,2.26,3.521,0.9453333333333334
1000,10,0.4,0.6,26.563,26.547,23.759,29.02,0.781,26.042,27.118,27.873,28.326,2.716,3.668,1.0
1000,10,0.6,0.6,28.558,29.012,-0.815,31.768,2.774,28.387,29.55,30.323,30.751,2.602,3.552,0.998
1000,10,0.8,0.6,16.938,18.583,-3.887,30.148,7.487,12.688,22.578,26.348,27.953,1.947,2.955,0.9433333333333334
