,Single Lasso Coef,Mean Coef,CL5,CL95
EAWR,-113.65002574498597,-130.2289852174848,-156.70501768357775,-103.39680979984423
NAO,82.73515737042536,92.7398842187862,67.83552494339335,122.10999946407577
AAO,41.84503886513596,59.435492568941484,36.97202325651373,82.50515187667105
PNA,39.9743237330406,57.54382265424381,25.71836499905073,84.1605543999955
EA_lag11,24.49539000616104,42.53319423856745,20.273454256747225,64.79368090807583
EAWR_lag1,17.12549754049529,24.820085981160727,0.0,52.71208529604438
WP_lag4,16.8365214024147,33.29213797246203,6.5762579072232175,59.3847084939783
SCAND,-16.080524853909935,-47.53841585226481,-72.30083890815698,-23.147421060082458
NOI_lag4,-15.576967414305821,-49.99993614840204,-67.98130485769393,-31.876530289533623
NINA34_lag6,-10.1052780707072,-11.8030434337399,-37.78110702206516,0.0
AO_lag11,10.031006011335124,22.80152958975421,0.0,52.32663449640729
EA,8.317531048047723,22.1439200636193,0.0,47.3763612021823
AMM_lag6,7.816392975231428,32.017975457399885,0.0,60.56148436981552
AO_lag1,6.8700295203011486,10.875635206414623,0.0,27.069052893105322
NOI_lag11,5.246642739876283,4.426484538273858,0.0,20.2809408722816
POLEUR_lag9,-4.590681008215554,-15.108562254791847,-36.34734495850366,0.0
WP_lag3,4.568879342467501,45.92487237089306,20.65572543078189,71.71076431589216
SCAND_lag11,4.526449189690875,37.69057765050501,10.577947211093939,64.56756109373755
WP_lag1,3.0370149710447167,19.783554654525833,0.0,44.76062896082872
AO_lag5,-2.5226171890427302,-11.07602280075131,-28.50724995943391,0.0
PMM_lag4,-2.410994750354421,-51.37946018847947,-79.24133249610573,-22.534189988735154
SOI_lag11,1.9349996264527767,3.5974170437961295,0.0,23.890197042133074
AAO_lag8,1.094677801235591,5.1581451591448015,0.0,25.227603480758066
PNA_lag5,0.0,13.205562917374252,0.0,37.87334995099803
TNA_lag6,0.0,0.06779705797486632,0.0,0.0
SOI_lag8,-0.0,-0.3732191314463908,-6.558063496405624,0.0
SOI_lag9,0.0,3.9477323940842624,0.0,23.25281655096377
SOI_lag10,0.0,2.4384464677339315,0.0,19.729493991175545
TNA,0.0,0.7978187644048926,0.0,11.422566705922586
TNA_lag1,0.0,-0.7022127803827369,-10.596634737192085,0.0
TNA_lag2,0.0,0.012378738812791503,0.0,0.0
TNA_lag3,-0.0,-13.746790388952569,-53.28420532883324,0.0
TNA_lag4,-0.0,-0.01055246762964837,0.0,0.0
TNA_lag5,0.0,0.060061551891599105,0.0,0.0
TNA_lag7,0.0,1.2607833691412151,0.0,16.733719882698043
TSA_lag5,-0.0,-0.16829028965005055,-3.443673845759039,0.0
TNA_lag8,0.0,0.34064485160313296,0.0,5.383652941936913
TNA_lag9,0.0,-0.1608373899740707,0.0,0.0
POLEUR_lag2,0.0,-0.20451583939010295,-7.026160126092379,4.19680658221816
TNA_lag10,-0.0,-1.4145952543028322,-17.234216762678606,0.0
TNA_lag11,-0.0,-3.5524459432261852,-24.32470139853767,0.0
TSA,0.0,6.369314334105979,0.0,26.977621771287826
TSA_lag1,0.0,0.03677322241173562,-0.7594923296902594,1.8753298529904343
TSA_lag2,-0.0,-0.04944555975620866,-1.8672634571810913,0.4020040616225981
TSA_lag3,-0.0,-0.20257349234707728,-2.7842411081279566,0.0
POLEUR_lag1,0.0,3.157343740814474,0.0,19.48643319924741
SOI_lag7,0.0,1.9086101765152383,0.0,18.357786608760545
SOI_lag6,0.0,4.668985194727913,0.0,28.07219555814415
SOI_lag5,0.0,0.19411402264223185,0.0,3.900731001751355
SCAND_lag4,0.0,-0.8908311965619583,-11.17759055311573,0.0
PMM_lag6,0.0,0.39124524519853837,0.0,6.353484395991438
PMM_lag7,0.0,2.6627080540778136,0.0,20.330291151962395
PMM_lag8,-0.0,-0.5628539600588888,-8.74470091958754,0.0
PMM_lag9,-0.0,-3.8733845008776515,-23.766991496891972,0.0
PMM_lag10,-0.0,-2.734685886441143,-20.007324756853496,0.0
PMM_lag11,-0.0,-0.5941529758609723,-8.835525843098061,0.0
POLEUR_lag4,-0.0,-6.321302919817425,-25.552480156001923,0.0
SCAND_lag1,-0.0,0.16693616963832208,-2.0123310399338696,5.170514568289194
SCAND_lag2,-0.0,-3.029130985642741,-19.827942560209426,0.0
SCAND_lag3,-0.0,-2.465697256001506,-17.892477416799576,0.0
SCAND_lag5,0.0,2.2626565697555363,0.0,17.490057749945073
SOI_lag4,0.0,0.4526338095583719,0.0,6.989824830101331
SCAND_lag6,0.0,3.5554634486135277,0.0,21.254861067414275
SCAND_lag7,-0.0,-0.8001507231214637,-10.98074273859673,0.0
SCAND_lag8,-0.0,-1.7377801045381807,-16.50668459117731,0.0
SCAND_lag9,-0.0,0.16349703226737122,-3.311217411827835,5.919234610459863
SCAND_lag10,0.0,-0.33294699464325483,-7.415010637519776,0.45915539487045026
POLEUR_lag3,-0.0,-6.831980659974976,-25.93993400678845,0.0
SOI,-0.0,-4.730034734808118,-26.31137361465373,0.0
SOI_lag1,0.0,10.915346570255492,0.0,36.13638830740952
SOI_lag2,0.0,0.9410129819685995,0.0,11.815335980404386
SOI_lag3,0.0,4.200376866298488,0.0,26.78467764670506
TSA_lag4,0.0,0.9949516579297629,0.0,12.04077232295818
TSA_lag6,0.0,-1.3231659982562347,-14.178899691811603,0.0
PNA_lag4,-0.0,-7.844583197832374,-28.860131809531932,0.0
EAWR_lag6,0.0,2.4952457661641225,0.0,18.76971403476066
EA_lag9,0.0,0.6544922954924965,-3.128649854353186,10.525506373918367
EA_lag10,0.0,2.166999221710229,0.0,17.250620998117483
PNA_lag9,0.0,0.3080388560781127,-0.8207610077471852,6.9615483071440565
POLEUR_lag8,-0.0,-3.357821905481928,-20.279936247191273,0.0
POLEUR_lag7,-0.0,0.39251891244605625,-4.155521146801637,8.944298527075107
EAWR_lag2,0.0,-0.10340399336657513,-2.8960387222594,0.0
EAWR_lag3,0.0,5.537852714142704,0.0,27.961648127971063
EAWR_lag4,0.0,0.11493046001500076,0.0,2.161703255773728
EAWR_lag5,0.0,4.5780289941604115,0.0,26.152848838338716
PNA_lag8,0.0,11.593730356239353,0.0,35.9870100031116
EAWR_lag7,-0.0,-7.030667130951369,-30.649644621534602,0.0
EA_lag7,-0.0,-1.3720064303306871,-13.502791623171444,0.0
